Index	Vertex	feature	normal		position		member	gl_Position				member_1			
103	33	1	-1711	-3721	 2417	 2387	 0.000000	-0.950115	-0.896696	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
104	36	1	-2202	-3453	 2399	 2408	 0.000000	-0.953027	-0.901700	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
105	36	1	-2202	-3453	 2399	 2408	 0.000000	-0.953027	-0.901700	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
106	37	1	-1818	-3670	 2317	 2431	 0.000000	-0.965762	-0.907025	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
107	43	1	-1049	-3959	 2264	 2471	 0.000000	-0.973887	-0.916311	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
108	38	1	 2622	-3146	 3514	 2432	 0.000000	-0.777827	-0.907419	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
109	35	1	 1482	-3818	 3359	 2407	 0.000000	-0.802278	-0.901354	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
110	41	1	 2868	-2924	 3525	 2463	 0.000000	-0.776058	-0.914752	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
111	35	1	 1482	-3818	 3359	 2407	 0.000000	-0.802278	-0.901354	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
112	36	1	-2202	-3453	 2399	 2408	 0.000000	-0.953027	-0.901700	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
113	41	1	 2868	-2924	 3525	 2463	 0.000000	-0.776058	-0.914752	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
114	41	1	 2868	-2924	 3525	 2463	 0.000000	-0.776058	-0.914752	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
115	36	1	-2202	-3453	 2399	 2408	 0.000000	-0.953027	-0.901700	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
116	43	1	-1049	-3959	 2264	 2471	 0.000000	-0.973887	-0.916311	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
117	41	1	 2868	-2924	 3525	 2463	 0.000000	-0.776058	-0.914752	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
118	43	1	-1049	-3959	 2264	 2471	 0.000000	-0.973887	-0.916311	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
119	44	1	 2596	-3167	 3573	 2479	 0.000000	-0.768614	-0.918428	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
120	39	1	 994	-3973	 2203	 2444	 0.000000	-0.983002	-0.909979	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
121	40	1	-2249	-3422	 2100	 2461	 0.000000	-0.999756	-0.914131	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
122	42	1	 1561	-3786	 2233	 2467	 0.000000	-0.978199	-0.915427	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
123	42	1	 1561	-3786	 2233	 2467	 0.000000	-0.978199	-0.915427	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
124	40	1	-2249	-3422	 2100	 2461	 0.000000	-0.999756	-0.914131	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
125	43	1	-1049	-3959	 2264	 2471	 0.000000	-0.973887	-0.916311	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
126	43	1	-1049	-3959	 2264	 2471	 0.000000	-0.973887	-0.916311	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
127	40	1	-2249	-3422	 2100	 2461	 0.000000	-0.999756	-0.914131	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
128	46	1	 718	-4032	 2073	 2503	 0.000000	-1.003371	-0.923789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
129	44	1	 2596	-3167	 3573	 2479	 0.000000	-0.768614	-0.918428	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
130	43	1	-1049	-3959	 2264	 2471	 0.000000	-0.973887	-0.916311	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
131	46	1	 718	-4032	 2073	 2503	 0.000000	-1.003371	-0.923789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
132	44	1	 2596	-3167	 3573	 2479	 0.000000	-0.768614	-0.918428	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
133	46	1	 718	-4032	 2073	 2503	 0.000000	-1.003371	-0.923789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
134	48	1	 1872	-3643	 3597	 2521	 0.000000	-0.765011	-0.928127	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
135	46	1	 718	-4032	 2073	 2503	 0.000000	-1.003371	-0.923789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
136	45	1	 1295	-3885	 2071	 2494	 0.000000	-1.003566	-0.921725	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
137	49	1	-3109	-2666	 2022	 2536	 0.000000	-1.012118	-0.931940	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
138	48	1	 1872	-3643	 3597	 2521	 0.000000	-0.765011	-0.928127	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
139	46	1	 718	-4032	 2073	 2503	 0.000000	-1.003371	-0.923789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
140	49	1	-3109	-2666	 2022	 2536	 0.000000	-1.012118	-0.931940	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
141	50	1	 1829	-3664	 3662	 2546	 0.000000	-0.754864	-0.933979	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
142	51	1	 1366	-3861	 3664	 2548	 0.000000	-0.754645	-0.934388	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
143	53	1	 4043	-656	 3666	 2549	 0.000000	-0.753788	-0.935601	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
144	50	1	 1829	-3664	 3662	 2546	 0.000000	-0.754864	-0.933979	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
145	53	1	 4043	-656	 3666	 2549	 0.000000	-0.753788	-0.935601	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
146	55	1	 1678	-3736	 3720	 2551	 0.000000	-0.745832	-0.935129	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
147	53	1	 4043	-656	 3666	 2549	 0.000000	-0.753788	-0.935601	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
148	54	1	 656	 4043	 3665	 2550	 0.000000	-0.754633	-0.937269	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
149	55	1	 1678	-3736	 3720	 2551	 0.000000	-0.745832	-0.935129	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
150	47	1	 1476	-3820	 3636	 2517	 0.000000	-0.758998	-0.927135	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
151	48	1	 1872	-3643	 3597	 2521	 0.000000	-0.765011	-0.928127	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
152	50	1	 1829	-3664	 3662	 2546	 0.000000	-0.754864	-0.933979	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
153	48	1	 1872	-3643	 3597	 2521	 0.000000	-0.765011	-0.928127	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
154	49	1	-3109	-2666	 2022	 2536	 0.000000	-1.012118	-0.931940	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
155	50	1	 1829	-3664	 3662	 2546	 0.000000	-0.754864	-0.933979	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
156	51	1	 1366	-3861	 3664	 2548	 0.000000	-0.754645	-0.934388	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
157	50	1	 1829	-3664	 3662	 2546	 0.000000	-0.754864	-0.933979	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
158	52	1	 4043	-656	 3663	 2549	 0.000000	-0.754257	-0.935601	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
159	50	1	 1829	-3664	 3662	 2546	 0.000000	-0.754864	-0.933979	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
160	49	1	-3109	-2666	 2022	 2536	 0.000000	-1.012118	-0.931940	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
161	52	1	 4043	-656	 3663	 2549	 0.000000	-0.754257	-0.935601	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
162	52	1	 4043	-656	 3663	 2549	 0.000000	-0.754257	-0.935601	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
163	49	1	-3109	-2666	 2022	 2536	 0.000000	-1.012118	-0.931940	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
164	54	1	 656	 4043	 3665	 2550	 0.000000	-0.754633	-0.937269	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
165	54	1	 656	 4043	 3665	 2550	 0.000000	-0.754633	-0.937269	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
166	49	1	-3109	-2666	 2022	 2536	 0.000000	-1.012118	-0.931940	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
167	57	1	-2874	-2918	 1986	 2594	 0.000000	-1.017695	-0.945457	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
168	55	1	 1678	-3736	 3720	 2551	 0.000000	-0.745832	-0.935129	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
169	54	1	 656	 4043	 3665	 2550	 0.000000	-0.754633	-0.937269	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
170	56	1	 3592	-1968	 3739	 2569	 0.000000	-0.742474	-0.939888	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
171	54	1	 656	 4043	 3665	 2550	 0.000000	-0.754633	-0.937269	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
172	58	1	 2779	-3008	 3744	 2595	 0.000000	-0.741858	-0.945664	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
173	56	1	 3592	-1968	 3739	 2569	 0.000000	-0.742474	-0.939888	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
